指标名称,a,进出口金额:当月同比,社会消费品零售总额:当月同比,CPI:当月同比,PPI:全部工业品:当月同比,社会融资规模:当月值,M2:同比,M1:同比,人民币存款准备金率:大型存款类金融机构(月),人民币存款准备金率:中小型存款类金融机构(月),商品房销售面积:累计同比,商品房销售额:累计同比,PMI,财新中国PMI,财政收支差额:当月值,金融机构:财政存款余额,金融机构:机关团体存款余额,实际使用外资金额:外商直接投资:当月同比,官方储备资产:外汇储备,金融机构:人民币:资金运用:中央银行外汇占款,金融机构:贷款占比:基准利率,人民币:实际有效汇率指数,人民币:名义有效汇率指数
15-Oct,5.6,-12.17,11.02,1.27,-5.9,"5,593.00",13.5,14,17.5,15.5,7.2,14.9,49.8,48.3,943.66,"46,188.99","211,645.53",4.2,"35,255.07","274,361.02",17.13,128.86,124.69
15-Nov,6.2,-7.91,11.17,1.49,-5.9,"10,255.00",13.7,15.7,17.5,15.5,7.4,15.6,49.6,48.6,"-4,982.05","49,033.55","210,625.01",1.9,"34,382.84","272,148.34",17.86,130.86,126.38
15-Dec,5.9,-4.52,11.1,1.6,-5.9,"18,114.00",13.3,15.2,17.5,15.5,6.5,14.4,49.7,48.2,"-13,262.57","34,452.89","207,379.32",-5.8,"33,303.62","265,858.52",18.6,130.2,125.03
16-Jan,5.87,-17.18,10.65,1.8,-5.3,"34,758.00",14,18.6,17.5,15.5,17.35,29,49.4,48.4,"7,032.21","39,606.53","209,000.30",1.1,"32,308.93","242,092.21",17.16,129.71,124
16-Feb,4.91,-22.41,10.2,2.3,-4.9,"8,312.00",13.3,17.4,17.5,15.5,28.2,43.6,49,48,-817.64,"37,916.35","206,678.48",1.8,"32,023.21","239,813.38",16.92,130.93,123.18
16-Mar,6.8,-0.23,10.5,2.3,-4.3,"23,931.00",13.4,22.1,17,15,33.1,54.1,50.2,49.7,"-5,276.84","36,176.81","213,782.77",7.8,"32,125.79","238,365.77",17.6,128.69,122.22
16-Apr,6,-7.87,10.1,2.33,-3.4,"7,809.00",12.8,22.9,17,15,36.5,55.9,50.1,49.4,"2,413.60","45,495.30","216,099.72",6,"32,196.68","237,821.82",16.27,126.32,120.66
16-May,6,-4.33,10,2.04,-2.8,"6,770.00",11.8,23.7,17,15,33.2,50.7,50.1,49.2,0.3,"47,114.71","221,924.40",-1,"31,917.36","237,284.80",15.91,125.33,120.49
16-Jun,6.2,-7.79,10.6,1.88,-2.6,"16,479.00",11.8,24.6,17,15,27.9,42.1,50,48.6,"-7,002.80","43,819.21","228,134.49",9.7,"32,051.62","236,307.53",17.8,123.32,118.99
16-Jul,6,-9.14,10.2,1.77,-1.7,"4,791.00",10.2,25.4,17,15,26.4,39.8,49.9,50.6,"2,001.89","48,700.97","229,785.21",-1.6,"32,010.57","234,402.45",16.11,122.1,117.47
16-Aug,6.3,-1.52,10.6,1.34,-0.8,"14,605.00",11.4,25.3,17,15,25.5,38.7,50.4,50,"-4,292.73","46,891.50","233,406.41",5.7,"31,851.67","232,483.50",15.77,121.18,116.67
